total_cases,new_cases,total_deaths,new_deaths,new_tests,year
9.0,0.0,0.0,0.0,529.0,2020
9.0,0.0,0.0,0.0,630.0,2020
9.0,0.0,0.0,0.0,901.0,2020
9.0,0.0,0.0,0.0,758.0,2020
12.0,3.0,0.0,0.0,507.0,2020
14.0,2.0,0.0,0.0,608.0,2020
16.0,2.0,0.0,0.0,572.0,2020
16.0,0.0,0.0,0.0,369.0,2020
16.0,0.0,0.0,0.0,218.0,2020
30.0,14.0,0.0,0.0,555.0,2020
31.0,1.0,0.0,0.0,68.0,2020
31.0,0.0,0.0,0.0,333.0,2020
31.0,0.0,0.0,0.0,349.0,2020
42.0,11.0,0.0,0.0,251.0,2020
45.0,3.0,0.0,0.0,186.0,2020
48.0,3.0,0.0,0.0,202.0,2020
49.0,1.0,0.0,0.0,264.0,2020
49.0,0.0,0.0,0.0,265.0,2020
52.0,3.0,0.0,0.0,540.0,2020
52.0,0.0,0.0,0.0,336.0,2020
54.0,2.0,0.0,0.0,717.0,2020
57.0,3.0,0.0,0.0,487.0,2020
57.0,0.0,0.0,0.0,566.0,2020
59.0,2.0,0.0,0.0,521.0,2020
59.0,0.0,0.0,0.0,326.0,2020
75.0,16.0,0.0,0.0,216.0,2020
82.0,7.0,0.0,0.0,210.0,2020
82.0,0.0,0.0,0.0,246.0,2020
99.0,17.0,0.0,0.0,415.0,2020
101.0,2.0,0.0,0.0,981.0,2020
101.0,0.0,0.0,0.0,817.0,2020
109.0,8.0,0.0,0.0,589.0,2020
120.0,11.0,0.0,0.0,911.0,2020
134.0,14.0,0.0,0.0,1155.0,2020
217.0,83.0,0.0,0.0,2376.0,2020
219.0,2.0,0.0,0.0,1324.0,2020
258.0,39.0,0.0,0.0,1250.0,2020
276.0,18.0,0.0,0.0,2777.0,2020
291.0,15.0,1.0,1.0,1470.0,2020
304.0,13.0,2.0,1.0,2563.0,2020
375.0,71.0,2.0,0.0,2282.0,2020
402.0,27.0,2.0,0.0,2488.0,2020
444.0,42.0,2.0,0.0,3243.0,2020
487.0,43.0,3.0,1.0,3780.0,2020
548.0,61.0,3.0,0.0,3442.0,2020
584.0,36.0,3.0,0.0,2856.0,2020
603.0,19.0,3.0,0.0,2827.0,2020
682.0,79.0,4.0,1.0,3055.0,2020
772.0,90.0,4.0,0.0,3580.0,2020
886.0,114.0,4.0,0.0,2639.0,2020
1042.0,156.0,5.0,1.0,3238.0,2020
1212.0,170.0,6.0,1.0,2575.0,2020
1401.0,189.0,6.0,0.0,2858.0,2020
1572.0,171.0,8.0,2.0,2316.0,2020
